"MONTO"	"CLASE"	"MARCA"	"MODELO"	"CLASEPOLIZA"	"ZONA"	"SEXO"	"EDAD"	"VALOR"
3.296595	"AU"	"MZ"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E4"	"V2"
3.281622	"CM"	"EU"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V3"
1.384205	"AU"	"CH"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V2"
0.307155	"AU"	"MZ"	"M5"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V3"
5.362587	"AU"	"CH"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E4"	"V3"
1.367171	"AU"	"EU"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E3"	"V2"
3.173953	"AU"	"OT"	"M2"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E3"	"V3"
2.820708	"AU"	"RE"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E2"	"V2"
1.726493	"AU"	"CH"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E2"	"V2"
0.691691	"PS"	"JA"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E4"	"V3"
1.166058	"CM"	"JA"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E5"	"V3"
0.302574	"AU"	"EU"	"M5"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E2"	"V3"
2.37079	"AU"	"RE"	"M1"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E2"	"V3"
1.088443	"AU"	"RE"	"M4"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V3"
1.735011	"AU"	"MZ"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E4"	"V4"
1.524494	"AU"	"RE"	"M1"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V4"
7.616826	"AU"	"MZ"	"M4"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V4"
1.537746	"CP"	"CH"	"M3"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V5"
1.710693	"PD"	"OT"	"M2"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E2"	"V3"
4.803494	"AU"	"RE"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V2"
1.445903	"AU"	"KO"	"M1"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V3"
0.591711	"AU"	"MZ"	"M5"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V4"
0.510192	"AU"	"CH"	"M1"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V4"
2.609343	"AU"	"RE"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E4"	"V2"
2.658409	"AU"	"MZ"	"M3"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E4"	"V3"
0.309899	"AU"	"CH"	"M5"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E4"	"V4"
0.699455	"AU"	"CH"	"M5"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E4"	"V4"
1.764747	"AU"	"CH"	"M4"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V3"
3.19343	"AU"	"CH"	"M2"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E2"	"V3"
5.139201	"PS"	"JA"	"M4"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E3"	"V3"
6.06464	"AU"	"MZ"	"M5"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V4"
3.27599	"AU"	"MZ"	"M5"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V4"
8.315067	"AU"	"CH"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E3"	"V2"
2.167123	"AU"	"CH"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E2"	"V2"
1.637629	"AU"	"CH"	"M2"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E2"	"V2"
1.558818	"AU"	"CH"	"M1"	"POLIZA INDIVIDUAL"	"AN"	"M"	"E4"	"V4"
0.442155	"AU"	"KO"	"M6"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E5"	"V2"
0.743509	"AU"	"CH"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E1"	"V2"
1.020936	"AU"	"CH"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E1"	"V2"
0.858138	"AU"	"CH"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E5"	"V2"
5.061004	"AU"	"EU"	"M7"	"POLIZA INDIVIDUAL"	"AN"	"F"	"E2"	"V2"
5.189949	"AU"	"CH"	"M2"	"POLIZA INDIVIDUAL"	"CF"	"F"	"E3"	"V4"
